coding_CID coding_FDR as_CID as_FDR
CID011197671 0.948275862068966 CID010186009 0.967241379310345
CID000838889 0.948424068767908 CID011793277 0.967335243553009
CID045480848 0.948571428571429 CID006539579 0.967428571428571
CID010183216 0.948717948717949 CID044526074 0.967521367521368
CID070691776 0.948863636363636 CID044305647 0.967613636363636
CID009945696 0.949008498583569 CID044525947 0.967705382436261
CID057396625 0.949152542372881 CID006539569 0.967796610169491
CID044532433 0.949295774647887 CID044535870 0.967887323943662
CID015838857 0.949438202247191 CID044526685 0.967977528089888
CID044526077 0.949579831932773 CID006539524 0.968067226890756
CID011495551 0.949720670391061 CID044305594 0.968156424581006
CID011558948 0.949860724233983 CID006539529 0.968245125348189
CID025263100 0.95 CID057345685 0.968333333333333
CID023648887 0.950138504155125 CID070685442 0.968421052631579
CID006539588 0.950276243093923 CID000667570 0.968508287292818
CID006539470 0.950413223140496 CID010158539 0.968595041322314
CID044526922 0.950549450549451 CID044525943 0.968681318681319
CID044532712 0.950684931506849 CID010621826 0.968767123287671
CID046886665 0.950819672131147 CID015521230 0.968852459016393
CID023648920 0.950953678474114 CID044532480 0.968937329700272
CID042618144 0.951086956521739 CID011197671 0.969021739130435
CID006539463 0.951219512195122 CID045480848 0.969105691056911
CID024803787 0.951351351351351 CID010183216 0.969189189189189
CID006539528 0.951482479784367 CID024804299 0.969272237196765
CID024803786 0.951612903225806 CID057396625 0.969354838709677
CID011633551 0.951742627345844 CID044532433 0.969436997319035
CID044397230 0.951871657754011 CID015838857 0.96951871657754
CID045271244 0.952 CID044526077 0.9696
CID045271243 0.952127659574468 CID011558948 0.96968085106383
CID056683489 0.952254641909814 CID023648887 0.969761273209549
CID010757558 0.952380952380952 CID010151417 0.96984126984127
CID044532531 0.952506596306069 CID006539470 0.969920844327177
CID000129723 0.952631578947368 CID044532712 0.97
CID051357954 0.952755905511811 CID023648920 0.97007874015748
CID066561013 0.952879581151832 CID042618144 0.970157068062827
CID025263085 0.953002610966057 CID024803787 0.97023498694517
CID044525969 0.953125 CID006539528 0.9703125
CID044336144 0.953246753246753 CID010135552 0.97038961038961
CID053467617 0.953367875647668 CID045271244 0.970466321243523
CID025263102 0.953488372093023 CID045271243 0.970542635658915
CID022609863 0.95360824742268 CID056683489 0.970618556701031
CID011716589 0.953727506426735 CID044532531 0.970694087403599
CID011220119 0.953846153846154 CID000129723 0.970769230769231
CID001491157 0.953964194373402 CID044525969 0.970843989769821
CID024802788 0.954081632653061 CID044336144 0.970918367346939
CID000003134 0.954198473282443 CID053467617 0.970992366412214
CID051357696 0.954314720812183 CID022609863 0.971065989847716
CID057400063 0.954430379746835 CID011716589 0.971139240506329
CID057391365 0.954545454545455 CID011220119 0.971212121212121
CID000221158 0.954659949622166 CID001491157 0.971284634760705
CID000309461 0.954773869346734 CID057400063 0.971356783919598
CID011959683 0.954887218045113 CID000221158 0.971428571428571
