"coding_CID" "coding_FDR" "as_CID" "as_FDR"
"224" "CID024803301" 0.962053571428571 "CID009879605" 0.949107142857143
"225" "CID006539582" 0.962222222222222 "CID053466728" 0.949333333333333
"226" "CID044525966" 0.962389380530973 "CID006539477" 0.949557522123894
"227" "CID057398392" 0.962555066079295 "CID009880709" 0.949779735682819
"228" "CID000227502" 0.962719298245614 "CID044525962" 0.95
"229" "CID056680318" 0.962882096069869 "CID009836405" 0.950218340611354
"230" "CID022185475" 0.96304347826087 "CID044525963" 0.950434782608696
"231" "CID044269265" 0.963203463203463 "CID015407403" 0.950649350649351
"232" "CID046215644" 0.963362068965517 "CID006539519" 0.950862068965517
"233" "CID044532102" 0.963519313304721 "CID006539416" 0.951072961373391
"234" "CID006539509" 0.963675213675214 "CID051354901" 0.951282051282051
"235" "CID044525929" 0.963829787234043 "CID006539566" 0.951489361702128
"236" "CID044532450" 0.963983050847458 "CID044525932" 0.951694915254237
"237" "CID018536646" 0.964135021097046 "CID000099545" 0.951898734177215
"238" "CID017755746" 0.964285714285714 "CID006539507" 0.952100840336134
"239" "CID006539394" 0.964435146443515 "CID044526068" 0.952301255230126
"240" "CID011682470" 0.964583333333333 "CID044525931" 0.9525
"241" "CID018536633" 0.964730290456432 "CID044532683" 0.952697095435685
"242" "CID044526075" 0.964876033057851 "CID044525948" 0.952892561983471
"243" "CID011682680" 0.965020576131687 "CID056673950" 0.953086419753086
"244" "CID057403576" 0.965163934426229 "CID044525923" 0.95327868852459
"245" "CID044527603" 0.96530612244898 "CID044525961" 0.953469387755102
"246" "CID044525933" 0.965447154471545 "CID044525934" 0.953658536585366
"247" "CID045271247" 0.965587044534413 "CID053245731" 0.953846153846154
"248" "CID009925372" 0.965725806451613 "CID057401865" 0.954032258064516
"249" "CID006539523" 0.965863453815261 "CID009861063" 0.95421686746988
"250" "CID011594774" 0.966 "CID024949702" 0.9544
"251" "CID010286382" 0.966135458167331 "CID044328970" 0.954581673306773
"252" "CID009925594" 0.966269841269841 "CID045270417" 0.954761904761905
"253" "CID021027446" 0.966403162055336 "CID044525945" 0.954940711462451
"254" "CID009914412" 0.966535433070866 "CID070685440" 0.955118110236221
"255" "CID006539480" 0.966666666666667 "CID045481463" 0.955294117647059
"256" "CID044525927" 0.966796875 "CID011595752" 0.95546875
"257" "CID006539516" 0.966926070038911 "CID006539550" 0.955642023346304
"258" "CID044536075" 0.967054263565891 "CID044532432" 0.955813953488372
"259" "CID044328896" 0.967181467181467 "CID006539376" 0.955984555984556
"260" "CID006539578" 0.967307692307692 "CID024803301" 0.956153846153846
"261" "CID044526069" 0.967432950191571 "CID044525966" 0.95632183908046
"262" "CID006539565" 0.967557251908397 "CID057398392" 0.956488549618321
"263" "CID044592364" 0.967680608365019 "CID056680318" 0.956653992395437
"264" "CID006539486" 0.96780303030303 "CID044532102" 0.956818181818182
"265" "CID044578252" 0.967924528301887 "CID006539509" 0.956981132075472
"266" "CID044532639" 0.968045112781955 "CID044525929" 0.957142857142857
"267" "CID009929101" 0.968164794007491 "CID018536646" 0.957303370786517
"268" "CID024804780" 0.968283582089552 "CID017755746" 0.957462686567164
"269" "CID017755233" 0.968401486988848 "CID006539394" 0.957620817843866
"270" "CID044525939" 0.968518518518519 "CID011682470" 0.957777777777778
"271" "CID010278843" 0.968634686346863 "CID018536633" 0.957933579335793
"272" "CID044525959" 0.96875 "CID044526075" 0.958088235294118
"273" "CID025093464" 0.968864468864469 "CID011682680" 0.958241758241758
"274" "CID006539461" 0.968978102189781 "CID057403576" 0.958394160583942
"275" "CID000447966" 0.969090909090909 "CID044527603" 0.958545454545455
"276" "CID044532445" 0.969202898550725 "CID044525933" 0.958695652173913
"277" "CID044433573" 0.969314079422383 "CID045271247" 0.95884476534296
"278" "CID006539602" 0.969424460431655 "CID009925372" 0.958992805755396
"279" "CID006539513" 0.969534050179211 "CID006539523" 0.959139784946237
"280" "CID001489204" 0.969642857142857 "CID011594774" 0.959285714285714
"281" "CID053467178" 0.969750889679715 "CID010286382" 0.959430604982206
"282" "CID044529385" 0.969858156028369 "CID009914412" 0.959574468085106
"283" "CID006539605" 0.969964664310954 "CID006539480" 0.959717314487633
"284" "CID044305812" 0.970070422535211 "CID044525927" 0.959859154929577
"285" "CID009923028" 0.970175438596491 "CID006539516" 0.96
"286" "CID044525960" 0.97027972027972 "CID044536075" 0.96013986013986
"287" "CID044525485" 0.970383275261324 "CID044328896" 0.960278745644599
"288" "CID011231979" 0.970486111111111 "CID006539578" 0.960416666666667
"289" "CID044525970" 0.970588235294118 "CID044526069" 0.960553633217993
"290" "CID044525937" 0.970689655172414 "CID006539565" 0.960689655172414
"291" "CID044529831" 0.970790378006873 "CID044592364" 0.960824742268041
"292" "CID024803300" 0.970890410958904 "CID006539486" 0.960958904109589
"293" "CID009836051" 0.97098976109215 "CID044578252" 0.961092150170648
"294" "CID006539610" 0.97108843537415 "CID044532639" 0.961224489795918
"295" "CID044529101" 0.971186440677966 "CID009929101" 0.96135593220339
"296" "CID011524582" 0.971283783783784 "CID017755233" 0.961486486486486
"297" "CID010595057" 0.971380471380471 "CID044525939" 0.961616161616162
"298" "CID009814925" 0.971476510067114 "CID010278843" 0.961744966442953
"299" "CID044532297" 0.971571906354515 "CID044525959" 0.961872909698997
"300" "CID051356854" 0.971666666666667 "CID025093464" 0.962
"301" "CID044528946" 0.971760797342193 "CID006539461" 0.962126245847176
