molid,bglf4_c_s_2,bglf4_c_l_2,bglf4_c_w_2,bglf4_p_s_2,bglf4_p_l_2,bglf4_p_w_2,pknb_c_s_2,pknb_c_l_2,pknb_c_w_2,pknb_p_s_2,pknb_p_l_2,pknb_p_w_2,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID051356855,0.8484848484849999,125,-0.04459369064577301,0.875,263,-0.07423638858996298,0.858823529412,248,-0.006642725901541001,0.9080459770110001,377,-0.05562084240200395,0.83606557377,151,-0.2031624636966,0.895833333333,375,-0.19523886252678002
CID044529278,0.876288659794,201,-0.051742172259842026,0.8521739130429999,171,-0.10552824925694101,0.8181818181820001,79,-0.007425562766352001,0.732673267327,25,-0.151719874959103,0.8181818181820001,99,-0.26772884293864996,0.42045454545500005,6,-0.4918009273866
CID051354327,0.865168539326,166,-0.05451196391533,0.8301886792450001,105,-0.11075758782238698,0.803921568627,45,-0.008670256606498998,0.8571428571430001,220,-0.08345981904628696,0.8433734939759999,176,-0.26628803599007,0.8407079646019999,222,-0.28271042336658003
CID024804298,0.8426966292129999,107,-0.080549930812256,0.32,1,-0.3176073894068339,0.841121495327,167,-0.007281084186290003,0.8490566037739999,202,-0.08796018605543904,0.847058823529,184,-0.2342849723828,0.833333333333,197,-0.41269375355716004
CID044532690,0.888888888889,259,-0.04439827593388501,0.863247863248,220,-0.08952204582194702,0.860869565217,255,-0.007153726373062001,0.827272727273,132,-0.10951938973237496,0.858695652174,232,-0.20453982187032999,0.8709677419349999,322,-0.28485893829759
CID044525951,0.904255319149,320,-0.05096085261345501,0.8113207547169999,64,-0.11502457216820902,0.8518518518520001,212,-0.007254974389278999,0.767676767677,75,-0.13791990391812603,0.886363636364,327,-0.25500469732872005,0.628865979381,19,-0.42347091756841004
CID044529262,0.886597938144,250,-0.05161134299282599,0.8706896551719999,250,-0.09575798678627603,0.827272727273,111,-0.007680241468662998,0.7425742574259999,41,-0.14484303214610303,0.8426966292129999,173,-0.25338969183339,0.431818181818,7,-0.47632170270504004
CID005329826,0.9157894736839999,366,-0.041067584337545024,informer,informer,informer,0.872727272727,302,-0.005437996059683002,informer,informer,informer,0.886363636364,328,-0.19688709437739002,informer,informer,informer
CID051357138,0.87012987013,180,-0.042100776639170986,0.888888888889,311,-0.07764130062535499,0.8387096774189999,153,-0.007874717975383002,0.8602150537630001,231,-0.08163579033885694,0.861111111111,247,-0.21022901206323003,0.8962264150939999,377,-0.2090698347346
CID011224168,0.9176470588240001,370,-0.040410416132293986,0.85,163,-0.08708239105338303,0.9134615384620001,392,-0.004609448160515996,0.8064516129029999,105,-0.10825228859999103,0.84,163,-0.21032020087657002,0.7021276595739999,41,-0.30775438514183007
CID044279444,0.9135802469140001,357,-0.04358088523515998,0.867346938776,235,-0.08530035479534698,0.864583333333,266,-0.006371464233842997,0.811111111111,107,-0.10552885784985801,0.8933333333329999,353,-0.18684014765495,0.854368932039,278,-0.26534461219432004
CID044525965,0.8518518518520001,138,-0.05924943326360099,0.7659574468089999,26,-0.14071307751373202,0.86,253,-0.006939388083742,0.782608695652,82,-0.127616035959488,0.8571428571430001,221,-0.23332556959741993,0.7575757575759999,82,-0.38529691754503004
CID006539512,0.887096774194,252,-0.044876859139495,0.9176470588240001,380,-0.05256856701040497,0.90243902439,379,-0.005294140135863999,0.939759036145,398,-0.03973789340922,0.836363636364,153,-0.20863538857012998,0.9,381,-0.17184332817464
CID044525922,0.876404494382,203,-0.049607959467976,0.8504672897200001,164,-0.106366147211337,0.79,26,-0.008771974659340001,0.720430107527,14,-0.161911602582534,0.855421686747,217,-0.33257764073203,0.7,39,-0.4277201357928
CID046927672,0.87619047619,200,-0.049233550900092,0.853658536585,178,-0.102104586816927,0.8416666666670001,172,-0.008713095238096998,0.743119266055,42,-0.20188668145973404,0.858585858586,231,-0.22029669999452,0.724137931034,50,-0.4924397412571
CID006539475,0.7833333333329999,23,-0.06614450295086302,0.9213483146070001,386,-0.05734458833157596,0.9069767441859999,381,-0.007153477896515002,0.9176470588240001,391,-0.05278908387737696,0.903225806452,371,-0.22765317931351003,0.89247311828,371,-0.18832338514947997
CID006539458,0.8656716417910001,168,-0.05608270761611699,0.912087912088,371,-0.06054176190303198,0.8977272727269999,370,-0.0072267639077460005,0.8823529411759999,319,-0.06845805432624104,0.8730158730159999,289,-0.22429575544587,0.8723404255320001,326,-0.19971036258636998
CID044525942,0.891304347826,271,-0.05473995041546301,0.724489795918,14,-0.149565821562348,0.839622641509,159,-0.007307367032313,0.726315789474,21,-0.159789012431757,0.858823529412,233,-0.28714732419818,0.730769230769,56,-0.42235004141463
CID044532477,0.8901098901100001,264,-0.044943134641592,0.8518518518520001,168,-0.09418792416174498,0.8490566037739999,195,-0.007173556396430001,0.834951456311,148,-0.09953185021942001,0.814814814815,87,-0.22016135552341004,0.8508771929819999,261,-0.285336530583
CID044397393,0.904109589041,319,-0.038146767862583,0.8804347826090001,284,-0.07454787993315096,0.8901098901100001,355,-0.005518049074212998,0.862068965517,239,-0.08093806402895203,0.897058823529,362,-0.17612694348820002,0.865979381443,312,-0.21191388876434997
CID044532737,0.910112359551,342,-0.037082612807307,0.888888888889,312,-0.074943177410778,0.87619047619,314,-0.005365006922494999,0.80412371134,101,-0.102180387714292,0.864197530864,265,-0.18731995865982004,0.885964912281,362,-0.22730050789649
CID009901062,0.842857142857,109,-0.04565476620853601,0.916666666667,378,-0.06725912893373198,0.813953488372,64,-0.007984090070145002,0.837209302326,159,-0.09290879490663101,0.7741935483869999,27,-0.24723946376732006,0.738636363636,63,-0.26965971881570994
CID044525967,0.865853658537,169,-0.05629359005380799,0.7659574468089999,27,-0.12831950772546802,0.8367346938779999,145,-0.007360550599209,0.782608695652,83,-0.12988511356975202,0.8421052631579999,171,-0.2861844953281001,0.677419354839,33,-0.41400708746462
