molid,bglf4_c_s_2,bglf4_c_l_2,bglf4_c_w_2,bglf4_p_s_2,bglf4_p_l_2,bglf4_p_w_2,pknb_c_s_2,pknb_c_l_2,pknb_c_w_2,pknb_p_s_2,pknb_p_l_2,pknb_p_w_2
CID010621826,nan,nan,-0.04745504968921301,nan,nan,-0.06350168124582102,nan,nan,-0.009034693329521,0.833333333333,145,-0.097742687633612
CID044532478,nan,nan,-0.043093036307974994,nan,nan,-0.08446761198974503,nan,nan,-0.007362487229492003,0.833333333333,141,-0.106228508956439
CID044305879,nan,nan,-0.03396677237592301,nan,nan,-0.06619974859404601,nan,nan,-0.006235371659197998,0.8705882352940001,270,-0.07486173905206095
CID011682470,nan,nan,-0.051944579897895006,nan,nan,-0.102209580274681,nan,nan,-0.007708533302946999,0.8695652173909999,267,-0.08231049450385904
CID070691776,nan,nan,-0.06447652504822102,nan,nan,-0.06227077148632598,nan,nan,-0.015569601945662,0.8823529411759999,322,-0.08376241706897702
CID011594774,nan,nan,-0.04979155458347902,nan,nan,-0.08833394882222702,nan,nan,-0.007254468325786001,0.855421686747,215,-0.08352526699837098
CID006918454,nan,nan,-0.041373160171849,nan,nan,-0.074790634366918,nan,nan,-0.006010555946511,0.91,381,-0.05860412818154699
CID044525927,nan,nan,-0.05451532209688301,nan,nan,-0.134374109565709,nan,nan,-0.008103497176516,0.720430107527,17,-0.16088013019627
CID071451677,nan,nan,-0.05251085411708701,nan,nan,-0.09325174170800896,nan,nan,-0.009425979262672999,0.862745098039,245,-0.080148216222013
CID010186009,nan,nan,-0.03442519181567501,nan,nan,-0.09303717642917897,nan,nan,-0.0067179623567910005,0.698924731183,10,-0.163475715734889
CID009901062,nan,nan,-0.04565476620853601,nan,nan,-0.06725912893373198,nan,nan,-0.007984090070145002,0.837209302326,159,-0.09290879490663101
CID006539609,nan,nan,-0.05017127306332499,nan,nan,-0.09152523934330299,nan,nan,-0.007832965521183998,0.8571428571430001,224,-0.07953588654473097
CID006539606,nan,nan,-0.052717688483868014,nan,nan,-0.08311175932946298,nan,nan,-0.009324983622658,0.8666666666670001,256,-0.07550994878222694
CID006539605,nan,nan,-0.053109178980853,nan,nan,-0.087127966579433,nan,nan,-0.008893079893075,0.8602150537630001,232,-0.08430972063857595
CID006539602,nan,nan,-0.052423909345079,nan,nan,-0.089772904790133,nan,nan,-0.008340973024527997,0.8571428571430001,223,-0.08329719335640297
CID044525961,nan,nan,-0.04759004568853201,nan,nan,-0.122294336898915,nan,nan,-0.006674603174622,0.752688172043,59,-0.15265401335186102
CID044525960,nan,nan,-0.045358141990313,nan,nan,-0.105593920961546,nan,nan,-0.007740950079821,0.7303370786519999,24,-0.16326889627803104
CID044525963,nan,nan,-0.04783590180245601,nan,nan,-0.10425564217157303,nan,nan,-0.008382809720331999,0.765306122449,71,-0.138788542910952
CID044525962,nan,nan,-0.046251436772740004,nan,nan,-0.123912043278928,nan,nan,-0.006778638020193,0.75,56,-0.148818066913019
CID044525965,nan,nan,-0.05924943326360099,nan,nan,-0.14071307751373202,nan,nan,-0.006939388083741999,0.782608695652,82,-0.127616035959488
CID044525964,nan,nan,-0.053139632766776995,nan,nan,-0.114665251357352,nan,nan,-0.009068343781279,0.77,78,-0.13509841595887298
CID044525967,nan,nan,-0.05629359005380799,nan,nan,-0.12831950772546802,nan,nan,-0.007360550599208999,0.782608695652,83,-0.12988511356975202
