molid,rop18_c_s_2,rop18_c_l_2,rop18_c_w_2,rop18_p_s_2,rop18_p_l_2,rop18_p_w_2
CID000129723,nan,nan,-0.20006737750834,nan,nan,-0.19753193514734002
CID005311382,nan,nan,-0.19913671436314995,informer,informer,informer
CID000227502,nan,nan,-0.13397657278404998,nan,nan,-0.17084252884354004
CID049798353,nan,nan,-0.18808404724852995,nan,nan,-0.20940148340506998
CID044525928,nan,nan,-0.26329875672355,nan,nan,-0.40864972005415
CID044526922,nan,nan,-0.23730200991475,nan,nan,-0.28396872950697005
CID009925372,nan,nan,-0.45562543154026003,nan,nan,-0.25367734908290007
CID006539615,nan,nan,-0.20696659975406995,nan,nan,-0.27717880207455997
CID024802788,nan,nan,-0.22964149298646,nan,nan,-0.3993888979312001
CID006539565,nan,nan,-0.2270887505768,nan,nan,-0.2500795304817499
CID011595752,nan,nan,-0.39709918783616005,nan,nan,-0.25515023119453006
CID006539613,nan,nan,-0.17462766129972998,nan,nan,-0.2617230952128
CID009929101,nan,nan,-0.2234002841407,nan,nan,-0.33300862218249
CID044525974,nan,nan,-0.2200781792616,nan,nan,-0.32057911425539
CID006539486,nan,nan,-0.24807753303012003,nan,nan,-0.24547550043374997
